Køn,Navn,2. fremmedsprog,Kunstnerisk fag,Afgangsskole-navn
K,87,Tysk fortsætter B,Billedkunst C,Sportsefterskolen SINE (521302)
K,88,Tysk fortsætter B,Billedkunst C,Kerteminde Efterskole (439300)
K,89,Spansk begynder A,Billedkunst C,Bjerre Gymnastik- og Idrætsefterskole Akademiet (619301)
K,90,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
K,91,Tysk fortsætter B,Musik C,Ågård Efterskole (605302)
K,92,Tysk fortsætter B,Designfag C,Bøvling Fri- og Idrætsefterskole (efterskole) (665306)
K,93,Spansk begynder A,Billedkunst C,Bredballe Privatskole (280537)
K,94,Tysk fortsætter B,Designfag C,Sydvestjyllands Efterskole (557303)
M,95,Tysk fortsætter B,Musik C,Vestbirk Musik- & Sportsefterskole (609301)
M,96,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
M,97,Tysk fortsætter B,Designfag C,Rejsby Europæiske Efterskole (531300)
K,98,Tysk fortsætter B,Billedkunst C,Klank Efterskole (703300)
K,99,Tysk fortsætter B,Billedkunst C,Bjerre Gymnastik- og Idrætsefterskole Akademiet (619301)
K,100,Tysk fortsætter B,Musik C,Petersmindeskolen (631012)
K,101,Spansk begynder A,Dramatik C,
K,102,Spansk begynder A,Billedkunst C,Mølholm Skole (631009)
K,103,Tysk fortsætter B,Designfag C,Design- & Idrætsefterskolen Skamling (509300)
M,104,Spansk begynder A,Mediefag C,Kirkebakkeskolen (631006)
M,105,Tysk fortsætter B,Musik C,Vandel Efterskole (605301)
M,106,Tysk fortsætter B,Mediefag C,Hou Maritime Idrætsefterskole (727305)
M,107,Spansk begynder A,Designfag C,Ølgod Efterskole (577300)
K,108,Tysk fortsætter B,Designfag C,Glamsdalens Idrætsefterskole (433303)
K,109,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
K,110,Spansk begynder A,Billedkunst C,Ryslinge Høj- og Efterskole (efterskoledelen) (430300)
M,111,Spansk begynder A,Mediefag C,Hældagerskolen (631017)
K,112,Spansk begynder A,Billedkunst C,Hellebjerg Idrætsefterskole (619300)
K,113,Tysk fortsætter B,Billedkunst C,Skibelund Gymnastik- og Idrætsefterskole (575300)
M,114,Fransk begynder A,Mediefag C,Vejlefjordskolen (grundskole) (613009)
K,115,Tysk fortsætter B,Billedkunst C,Vejle Idrætshøjskole & Vejle Idrætsefterskole (efterskoledelen) (630300)
K,116,Tysk fortsætter B,Designfag C,Petersmindeskolen (631012)
K,117,Spansk begynder A,Mediefag C,Fredericia Realskole (607015)
K,118,Tysk fortsætter B,Billedkunst C,Blåkilde Efterskole (655300)
K,119,Tysk fortsætter B,Mediefag C,Koldingegnens Idrætsefterskole (621304)
K,120,Tysk fortsætter B,Billedkunst C,Skibelund Gymnastik- og Idrætsefterskole (575300)
M,121,Spansk begynder A,Billedkunst C,Fælleshåbsskolen (280333)
M,122,Spansk begynder A,Billedkunst C,Midtjysk Efterskole (625300)
K,123,Spansk begynder A,Designfag C,Agerskov Ungdomsskole (525300)
M,124,Spansk begynder A,Musik C,Ågård Efterskole (605302)
K,125,Tysk fortsætter B,Billedkunst C,Ågård Efterskole (605302)
M,126,Tysk fortsætter B,Musik C,Rejsby Europæiske Efterskole (531300)
K,127,Spansk begynder A,Mediefag C,
K,128,Tysk fortsætter B,Billedkunst C,Petersmindeskolen (631012)
K,129,Tysk fortsætter B,Mediefag C,
M,130,Tysk fortsætter B,Mediefag C,Venø Efterskole (671303)
M,131,Tysk fortsætter B,Designfag C,Den Tyske Efterskole Tinglev (539300)
K,132,Spansk begynder A,Mediefag C,Fælleshåbsskolen (280333)
K,133,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
